Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,India,IND,460,510,610,700,780,910,990,1110,1210,1350,1460,1500,1540,1580,1670,1790,1970,2070,1900,2170
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,South Africa,ZAF,2870,3160,4040,5430,6120,6440,6490,6350,6730,7620,8220,7930,7230,6450,5880,5850,6250,6570,5930,6330
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Mexico,MEX,7490,7780,8240,8490,9140,9720,10260,9230,9470,9760,10500,10710,10950,10580,9740,9270,9560,9860,8920,9880
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Indonesia,IDN,780,880,1060,1200,1350,1570,1900,2110,2490,2960,3520,3670,3570,3390,3370,3490,3810,4020,3850,4130
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Philippines,PHL,1110,1150,1260,1350,1470,1680,1970,2130,2310,2450,2780,3060,3220,3280,3350,3440,3610,3760,3350,3570
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Egypt, Arab Rep.",EGY,1250,1160,1120,1130,1230,1420,1710,1970,2200,2380,2630,2810,3000,3100,3200,2880,2710,2640,2960,3470
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Colombia,COL,2410,2410,2650,3030,3540,4170,4770,5200,5690,6370,7340,8010,8280,7420,6560,6030,6350,6630,5850,6260
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Argentina,ARG,4010,3620,3340,4230,5440,6460,7600,7720,9160,10590,11770,12760,12240,12500,12130,13070,12390,11210,9040,10070
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Viet Nam,VNM,430,480,550,650,740,860,1000,1120,1370,1630,1980,2200,2390,2460,2560,2680,3020,3290,3400,3540
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Morocco,MAR,1550,1740,2060,2300,2490,2630,2970,3150,3190,3260,3230,3350,3330,3300,3150,3160,3380,3510,3260,3630
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Nigeria,NGA,..,..,..,..,..,..,1890,1960,2050,2100,2360,2600,2870,2760,2370,2020,1950,2050,2060,2110
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ethiopia,ETH,120,110,130,160,180,210,270,330,370,380,400,450,530,580,650,710,770,820,860,930
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Haiti,HTI,740,690,680,710,800,900,1010,1160,1140,1260,1320,1410,1460,1430,1380,1370,1430,1410,1340,1450
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Afghanistan,AFG,180,190,210,250,270,330,370,460,530,550,640,670,640,590,560,530,520,520,490,380
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bangladesh,BGD,420,440,490,530,550,580,640,700,780,870,950,1010,1080,1200,1400,1640,2020,2220,2320,2600
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Uganda,UGA,250,250,280,310,350,380,430,550,680,860,830,810,830,850,810,760,770,810,820,860
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Nepal,NPL,230,250,280,300,330,370,430,480,530,620,750,840,860,870,860,970,1120,1240,1190,1250
