series_name,country_name,category,income_group,year,value
Poverty headcount ratio at national poverty line (% of population),Afghanistan,Demographics & Socioeconomics,Low-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),Bangladesh,Demographics & Socioeconomics,Low-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),Uganda,Demographics & Socioeconomics,Low-Income Countries,2002,38.8
Poverty headcount ratio at national poverty line (% of population),Nepal,Demographics & Socioeconomics,Low-Income Countries,2002,38.8
Poverty headcount ratio at national poverty line (% of population),Mozambique,Demographics & Socioeconomics,Low-Income Countries,2002,54.1
Poverty headcount ratio at national poverty line (% of population),Sudan,Demographics & Socioeconomics,Low-Income Countries,2002,54.1
Poverty headcount ratio at national poverty line (% of population),Madagascar,Demographics & Socioeconomics,Low-Income Countries,2002,54.1
Poverty headcount ratio at national poverty line (% of population),Rwanda,Demographics & Socioeconomics,Low-Income Countries,2002,54.1
"Maternal mortality ratio (national estimate, per 100,000 live births)",United States,Health Outcomes,High-Income Countries,2002,13.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Germany,Health Outcomes,High-Income Countries,2002,3.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Japan,Health Outcomes,High-Income Countries,2002,7.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Norway,Health Outcomes,High-Income Countries,2002,5.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Australia,Health Outcomes,High-Income Countries,2002,5.0
"Maternal mortality ratio (national estimate, per 100,000 live births)","Korea, Rep.",Health Outcomes,High-Income Countries,2002,13.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Canada,Health Outcomes,High-Income Countries,2002,4.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",United Kingdom,Health Outcomes,High-Income Countries,2002,4.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Switzerland,Health Outcomes,High-Income Countries,2002,4.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Italy,Health Outcomes,High-Income Countries,2002,3.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Sweden,Health Outcomes,High-Income Countries,2002,3.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Brazil,Health Outcomes,Middle-Income Countries,2002,72.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",India,Health Outcomes,Middle-Income Countries,2002,360.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",South Africa,Health Outcomes,Middle-Income Countries,2002,75.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Mexico,Health Outcomes,Middle-Income Countries,2002,55.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Indonesia,Health Outcomes,Middle-Income Countries,2002,55.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Philippines,Health Outcomes,Middle-Income Countries,2002,76.0
"Maternal mortality ratio (national estimate, per 100,000 live births)","Egypt, Arab Rep.",Health Outcomes,Middle-Income Countries,2002,35.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Colombia,Health Outcomes,Middle-Income Countries,2002,35.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Argentina,Health Outcomes,Middle-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Viet Nam,Health Outcomes,Middle-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Morocco,Health Outcomes,Middle-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Nigeria,Health Outcomes,Low-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Ethiopia,Health Outcomes,Low-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Haiti,Health Outcomes,Low-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Afghanistan,Health Outcomes,Low-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Bangladesh,Health Outcomes,Low-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Uganda,Health Outcomes,Low-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Nepal,Health Outcomes,Low-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Mozambique,Health Outcomes,Low-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Sudan,Health Outcomes,Low-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Madagascar,Health Outcomes,Low-Income Countries,2002,44.0
"Maternal mortality ratio (national estimate, per 100,000 live births)",Rwanda,Health Outcomes,Low-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),United States,Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Germany,Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Japan,Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Norway,Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Australia,Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),"Korea, Rep.",Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Canada,Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),United Kingdom,Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Switzerland,Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Italy,Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Sweden,Health Outcomes,High-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Brazil,Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),India,Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),South Africa,Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Mexico,Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Indonesia,Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Philippines,Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),"Egypt, Arab Rep.",Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Colombia,Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Argentina,Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Viet Nam,Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Morocco,Health Outcomes,Middle-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Nigeria,Health Outcomes,Low-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Ethiopia,Health Outcomes,Low-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Haiti,Health Outcomes,Low-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Afghanistan,Health Outcomes,Low-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Bangladesh,Health Outcomes,Low-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Uganda,Health Outcomes,Low-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Nepal,Health Outcomes,Low-Income Countries,2002,44.0
